id,timestamp,utilization,fps,wait
0,0.0,0.0,0.0,0.0
1,104.0,90.0,11.315626864930078,20.0
2,195.0,72.0,6.2622691617078665,21.0
3,277.0,69.0,12.705825641691556,2.0
4,400.0,97.0,7.83697577085737,23.0
5,488.0,74.0,9.16964348110011,13.0
6,594.0,84.0,10.097989574660735,27.0
7,703.0,88.0,7.407888852240271,20.0
8,824.0,89.0,10.693230656532155,20.0
9,946.0,97.0,13.014090630646958,25.0
10,1041.0,91.0,9.381542375498071,22.0
11,1163.0,95.0,10.13039272612347,29.0
12,1252.0,77.0,12.593830436973864,11.0
13,1374.0,89.0,12.719993384168104,22.0
14,1503.0,95.0,5.888094447575355,34.0
15,1584.0,81.0,14.867384916210737,10.0
16,1678.0,66.0,11.947049667982395,20.0
17,1774.0,90.0,11.910929758384038,12.0
18,1883.0,81.0,5.845466750420061,18.0
19,1981.0,83.0,9.259599519427994,13.0
20,2087.0,85.0,9.754880536760238,29.0
21,2178.0,74.0,6.903087000132005,24.0
22,2278.0,83.0,14.11088228280228,19.0
23,2400.0,99.0,10.355612305269444,26.0
24,2496.0,87.0,13.433842110274684,24.0
25,2625.0,94.0,5.883530852502414,32.0
26,2754.0,90.0,15.131874894851157,29.0
27,2879.0,99.0,9.961176416996416,21.0
28,2996.0,99.0,14.872714935485618,22.0
29,3107.0,97.0,6.567422730584417,23.0
30,3210.0,83.0,5.881472762261449,16.0